feature,importance_mean,importance_std
high_risk_combination,0.5,0.0
transactions_per_step,0.325,0.06123724356957945
balance_error_flag,0.25,0.0
missing_sender_balance,0.175,0.15000000000000002
sender_balance_unchanged,0.175,0.15000000000000002
zero_balance_transfer,0.175,0.15000000000000002
dest_balance_unchanged,0.1,0.09354143466934854
missing_receiver_balance,0.1,0.09354143466934854
amount_to_balance_ratio,0.05,0.06123724356957946
receiver_balance_error,0.025,0.05
type,0.0,0.0
step,0.0,0.0
oldbalanceOrg,0.0,0.0
amount,0.0,0.0
oldbalanceDest,0.0,0.0
newbalanceOrig,0.0,0.0
sender_balance_error,0.0,0.0
newbalanceDest,0.0,0.0
high_risk_type,0.0,0.0
large_transaction,0.0,0.0
amount_to_dest_ratio,0.0,0.0
avg_amount_per_step,0.0,0.0
